address	etcBalancePreHardFork	ethDaoBalancePreHardFork	ethDaoBalanceCurrent	ethDaoBalanceDiff
0x0000000000000000000000000000000000000000	0	0.0000000000000000	0.0000000000000000	0.0000000000000000
0x0000000000015b23c7e20b0ea5ebd84c39dcbe60	0.9695652173913044	0.9695652173913044	0.0000000000000000	0.9695652173913044
0x0000000a2ab83bb2587bf7fd5af5b78901684fc3	0.8900000000000000	0.8900000000000000	0.8900000000000000	0.0000000000000000
0x000000dd52238585c39cda25e4614dd38da985b1	183.7333969999999965	183.7333969999999965	183.7333969999999965	0.0000000000000000
0x000388bdcbb0e2a0dd566d4ba93f91cbe4c5db7f	149.0099999999999909	149.0099999999999909	149.0099999999999909	0.0000000000000000
0x000448cdfb9b5828e1cd373a87ce0c66cd2bea4b	0.0000000052380952	0.0000000052380952	0.0000000052380952	0.0000000000000000
0x0005b1a90193b947577213ac852f8df28c84e700	5000.0000000000000000	5000.0000000000000000	0.0000000000000000	5000.0000000000000000
0x0005b1c8840c893c0836b338664631c594ae0372	10.0000000000000000	10.0000000000000000	10.0000000000000000	0.0000000000000000
0x000d5143ffbd6fdc0b47a6b1cea5179c183f9f77	6720.0000000000000000	6720.0000000000000000	0.0000000000000000	6720.0000000000000000
0x0010ac02317ce3fc244f0502e43f22d1b5c096c0	317.6152866666666341	317.6152866666666341	317.6152866666666341	0.0000000000000000
0x00111590a11cc3dfd0e6a549c7e5da25bedc6557	7369.3069970000005924	7369.3069970000005924	7369.3069970000005924	0.0000000000000000
0x00117ca5a8b9ac2984a3bc9459fb0daecaadd6ac	10.0000000000000000	10.0000000000000000	10.0000000000000000	0.0000000000000000
0x0014396a8f6d2942b3965e43b89f98a6a5551f6e	300000.0000000000000000	300000.0000000000000000	0.0000000000000000	300000.0000000000000000
0x00153009c0a82996098f93743ca500e6111a435f	10.0000000000000000	10.0000000000000000	10.0000000000000000	0.0000000000000000
0x00154b77d79b96b3a22f3b4cbf2cbd8432d18c26	10.0000000000000000	10.0000000000000000	10.0000000000000000	0.0000000000000000
0x0015d5329a67e22ec78cca840e0a160fa0dc17b8	633.3333333333332575	633.3333333333332575	633.3333333333332575	0.0000000000000000
0x001a395af369332c4c6e0d55b5ce17d350c9f3d7	100000.0000000000000000	100000.0000000000000000	0.0000000000000000	100000.0000000000000000
0x001ac65be7f619c6d25a85f222e877c0c74ce435	28586.1399000000019441	28586.1399000000019441	0.0000000000000000	28586.1399000000019441
0x001b89174eaaa350ea07cb6311b0ddc4d39d31b3	7600.0000000000000000	7600.0000000000000000	7600.0000000000000000	0.0000000000000000
0x001cd48baac4523a667ec7cd28613892c7409bb9	100.0000000000000000	100.0000000000000000	100.0000000000000000	0.0000000000000000
0x001f5232de409addfe47ab42324d7ac541e264ec	10000.0000000000000000	10000.0000000000000000	10000.0000000000000000	0.0000000000000000
0x001fb78b4d1abd76eac53ed283cfc9aace5a030c	201.2254959999999926	201.2254959999999926	201.2254959999999926	0.0000000000000000
0x00214d8754e4180a0e146df77fdb12eb3130f1f8	1610099.7318180000875145	1610099.7318180000875145	0.0000000000000000	1610099.7318180000875145
0x002738191867a4e06ebbd174f5845ae3f8464b41	500.0000000000000000	500.0000000000000000	0.0000000000000000	500.0000000000000000
0x002917056ae43e7d30a423d9c4e681b3559860f7	146.0995749200000091	146.0995749200000091	0.0000000000000000	146.0995749200000091
0x002b74189d9d2c0e8b7f3327487aea70d0a22d39	162.1403186666666727	162.1403186666666727	162.1403186666666727	0.0000000000000000
0x0030767d818f016685cd0407ffd2c75b3083ba70	1768.6326007800000752	1768.6326007800000752	0.0000000000000000	1768.6326007800000752
0x0030d7426041e13a0df41961a0f96e08f67ca2d1	0	0.0000000000000000	0.0000000000000000	0.0000000000000000
0x003123587ae86717d7237767c92e2d0f7708febd	2000.0000000000000000	2000.0000000000000000	0.0000000000000000	2000.0000000000000000
0x0032403587947b9f15622a68d104d54d33dbd1cd	1500.0000000000000000	1500.0000000000000000	1500.0000000000000000	0.0000000000000000
0x003565e290b647163de76fd75bc50c5d6d687711	100.0000000000000000	100.0000000000000000	100.0000000000000000	0.0000000000000000
0x0037a6b811ffeb6e072da21179d11b1406371c63	957310.0000000000000000	957310.0000000000000000	0.0000000000000000	957310.0000000000000000
0x0037ce3d4b7f8729c8607d8d0248252be68202c0	10.0000000000000000	10.0000000000000000	10.0000000000000000	0.0000000000000000
0x0037f2072d93b189bffe3ac25dab435065c62f12	105.3333333333333428	105.3333333333333428	105.3333333333333428	0.0000000000000000
0x0038e464566c0e74a64fb2d957f2722252b76f9d	2.3999999999999999	2.3999999999999999	0.0000000000000000	2.3999999999999999
0x003925f515d44fd730629534146d65968e39b4fb	142.8571428571428612	142.8571428571428612	0.0000000000000000	142.8571428571428612
0x003a633ff27d93600196b776803ac06dbb3d1664	10000.0000000000000000	10000.0000000000000000	0.0000000000000000	10000.0000000000000000
0x003afe8859bcdd34a7fe93192462b6abe155930b	0	0.0000000000000000	0.0000000000000000	0.0000000000000000
0x003b5a801b467811019ec13dbda1f6d80c887707	100200.0000000000000000	100200.0000000000000000	0.0000000000000000	100200.0000000000000000
0x003be9952b36b08e1056d6d9cae716355ffea0f5	100.0000000000000000	100.0000000000000000	100.0000000000000000	0.0000000000000000
0x003c575be26b3aef9b50213bbc1767461f8b9210	127.5000000000000000	127.5000000000000000	127.5000000000000000	0.0000000000000000
0x003f96440757f89c2818eb301828f8531165b547	8333.3333333333321207	8333.3333333333321207	8333.3333333333321207	0.0000000000000000
